Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	23	48.93617021276596	3.0643470340330746E-15	SPARC, VCAM1, GPX3, SERPINF1, COL12A1, BGN, ADM, PTN, CXCL14, COL1A1, GREM2, VCAN, COL3A1, COL1A2, FLRT2, PTPRZ1, CRISPLD2, COL6A2, COL8A1, S100A4, TIMP1, IGFBP6, FBN1	47	1809	29722	8.040247932912271	3.979039320256561E-13	3.9223642035623355E-13	3.4627121484573744E-13
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	12	25.53191489361702	1.6644129825397194E-13	COL1A1, COL3A1, VCAN, SPARC, PTPRZ1, CRISPLD2, COL6A2, COL12A1, BGN, TIMP1, PTN, FBN1	47	257	29722	29.52760990148191	2.1302071218087804E-11	1.0652243088254204E-11	9.403933351349415E-12
GOTERM_CC_DIRECT	GO:0062023~collagen-containing extracellular matrix	12	25.53191489361702	2.6096757316181293E-12	COL1A1, COL3A1, VCAN, SPARC, COL1A2, COL6A2, COL12A1, BGN, COL8A1, IGFBP6, FBLN2, FBN1	47	331	29722	22.926271131966313	3.340403509355383E-10	1.1134616454904018E-10	9.829778589094954E-11
REACTOME_PATHWAY	R-MMU-1474244~Extracellular matrix organization	14	29.78723404255319	9.412796932920763E-12	SPARC, VCAM1, COL12A1, BGN, FBLN2, COL1A1, ACTA2, VCAN, COL3A1, COL1A2, COL6A2, COL8A1, TIMP1, FBN1	35	287	9277	12.929616724738676	2.183770497765636E-9	2.1931816853705377E-9	1.97668735591336E-9
GOTERM_CC_DIRECT	GO:0005576~extracellular region	19	40.42553191489361	5.071027105503714E-11	CTLA2A, VCAM1, GPX3, SERPINF1, COL12A1, BGN, PTN, FBLN2, COL1A1, VCAN, COL3A1, COL1A2, FLRT2, PTPRZ1, CRISPLD2, COL6A2, S100A4, TIMP1, FBN1	47	1780	29722	6.750155390867797	6.490921578006237E-9	1.6227286737611885E-9	1.4325651573047992E-9
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	7	14.893617021276595	4.554153190661396E-9	COL1A1, COL3A1, SPARC, COL1A2, IGFBP6, FBLN2, FBN1	44	91	28924	50.56643356643356	5.829314366767591E-7	4.787582223598892E-7	4.4883583346239615E-7
GOTERM_MF_DIRECT	GO:0030020~extracellular matrix structural constituent conferring tensile strength	6	12.76595744680851	7.480597224373269E-9	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1	44	46	28924	85.74308300395256	9.575159934938071E-7	4.787582223598892E-7	4.4883583346239615E-7
REACTOME_PATHWAY	R-MMU-3000178~ECM proteoglycans	7	14.893617021276595	1.9030924365705653E-8	COL1A1, COL3A1, VCAN, SPARC, COL1A2, COL6A2, BGN	35	49	9277	37.86530612244898	4.415164754023593E-6	2.2171026886047086E-6	1.9982470583990936E-6
KEGG_PATHWAY	mmu04820:Cytoskeleton in muscle cells	10	21.27659574468085	2.2847972312714302E-8	COL1A1, COL3A1, VCAN, COL1A2, COL6A2, BGN, MYH11, FBLN2, MYL9, FBN1	31	232	9565	13.299499443826473	1.5993567997751867E-6	1.5993580618900011E-6	1.439422255701001E-6
GOTERM_CC_DIRECT	GO:0005604~basement membrane	7	14.893617021276595	3.460258164716589E-8	ACTA2, SPARC, SERPINF1, COL8A1, TIMP1, PTN, FBN1	47	122	29722	36.28426927101499	4.4291207241808905E-6	8.858260901674469E-7	7.820183452259493E-7
GOTERM_CC_DIRECT	GO:0005581~collagen trimer	6	12.76595744680851	1.771586448374384E-7	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1	47	82	29722	46.271925272444214	2.2676051445791323E-5	3.7793844231986857E-6	3.3364878111050898E-6
REACTOME_PATHWAY	R-MMU-216083~Integrin cell surface interactions	7	14.893617021276595	3.2418830335220263E-7	COL1A1, COL3A1, VCAM1, COL1A2, COL6A2, COL8A1, FBN1	35	78	9277	23.78717948717949	7.520887023115819E-5	1.5661310271364195E-5	1.4115344021401206E-5
REACTOME_PATHWAY	R-MMU-8948216~Collagen chain trimerization	6	12.76595744680851	3.3185861712795075E-7	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1	35	41	9277	38.78885017421603	7.698824820467909E-5	1.5661310271364195E-5	1.4115344021401206E-5
REACTOME_PATHWAY	R-MMU-1474228~Degradation of the extracellular matrix	8	17.02127659574468	3.3607961955717157E-7	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1, TIMP1, FBN1	35	129	9277	16.43765227021041	7.796744522503563E-5	1.5661310271364195E-5	1.4115344021401206E-5
REACTOME_PATHWAY	R-MMU-2022090~Assembly of collagen fibrils and other multimeric structures	6	12.76595744680851	9.16462494236312E-7	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1	35	50	9277	31.806857142857144	2.125967941876139E-4	3.558929352617678E-5	3.207618729827092E-5
REACTOME_PATHWAY	R-MMU-1442490~Collagen degradation	6	12.76595744680851	1.1183145403746236E-6	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1	35	52	9277	30.583516483516483	2.5941546443741803E-4	3.722389827246961E-5	3.354943621123871E-5
REACTOME_PATHWAY	R-MMU-9006934~Signaling by Receptor Tyrosine Kinases	11	23.404255319148938	2.068970107329577E-6	ACTA2, COL1A1, COL3A1, COL1A2, FLRT2, PTPRZ1, SH3KBP1, COL6A2, CAV1, TRIB3, PTN	35	432	9277	6.749140211640212	4.7988637914020416E-4	6.0258754375973924E-5	5.431046531740139E-5
REACTOME_PATHWAY	R-MMU-1650814~Collagen biosynthesis and modifying enzymes	6	12.76595744680851	2.500401462818154E-6	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1	35	61	9277	26.071194379391102	5.79925642680168E-4	6.473261564851443E-5	5.834270079909026E-5
GOTERM_MF_DIRECT	GO:0005178~integrin binding	6	12.76595744680851	3.951504130333476E-6	COL3A1, VCAM1, PTPRZ1, PTN, THY1, FBN1	44	160	28924	24.65113636363636	5.056656360248324E-4	1.6859750956089496E-4	1.5806016521333904E-4
REACTOME_PATHWAY	R-MMU-162582~Signal Transduction	22	46.808510638297875	4.113563511183184E-6	SH3KBP1, CAV1, ADM, PTN, GNG11, AKAP12, COL1A1, ACTA2, APBB1IP, GREM2, COL3A1, COL1A2, GNGT2, FLRT2, PTPRZ1, COL6A2, TRIB3, NCAM1, MYH11, TIMP1, MYL9, FBN1	35	2270	9277	2.568835745752045	9.538934515905817E-4	9.584602981056819E-5	8.638483373484686E-5
REACTOME_PATHWAY	R-MMU-1474290~Collagen formation	6	12.76595744680851	7.46650304695044E-6	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1	35	76	9277	20.925563909774436	0.0017307357203480978	1.581541099944957E-4	1.4254233089632657E-4
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	8	17.02127659574468	1.4860488733480935E-5	VCAN, VCAM1, FLRT2, COL6A2, COL12A1, COL8A1, NCAM1, THY1	47	523	29712	9.669907652251739	0.008331615419916782	0.008351594668216285	0.008232710758348439
GOTERM_MF_DIRECT	GO:0050840~extracellular matrix binding	4	8.51063829787234	1.6185727179649803E-5	SPARC, BGN, CD248, FBLN2	44	33	28924	79.68044077134986	0.0020696451705318752	5.179432697487937E-4	4.855718153894941E-4
KEGG_PATHWAY	mmu04974:Protein digestion and absorption	6	12.76595744680851	1.9031883608157167E-5	COL1A1, COL3A1, COL1A2, COL6A2, COL12A1, COL8A1	31	108	9565	17.1415770609319	0.0013313574863942357	6.661159262855009E-4	5.995043336569508E-4
KEGG_PATHWAY	mmu04926:Relaxin signaling pathway	6	12.76595744680851	4.657577768124781E-5	ACTA2, COL1A1, COL3A1, GNGT2, COL1A2, GNG11	31	130	9565	14.240694789081886	0.0032550710972372165	0.0010867681458957821	9.78091331306204E-4
GOTERM_BP_DIRECT	GO:0001501~skeletal system development	5	10.638297872340425	4.660868393689977E-5	COL1A1, COL3A1, VCAN, COL1A2, FBN1	47	128	29712	24.694148936170212	0.02589998966698781	0.013097040186268834	0.012910605450521235
GOTERM_MF_DIRECT	GO:0048407~platelet-derived growth factor binding	3	6.382978723404255	1.411417082181159E-4	COL1A1, COL3A1, COL1A2	44	12	28924	164.34090909090907	0.017905176533635325	0.0030924960334964167	0.002899215031402891
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	10.638297872340425	1.4496075157014455E-4	GREM2, CRISPLD2, NCAM1, PTN, FBN1	44	179	28924	18.362112747587606	0.01838521269043336	0.0030924960334964167	0.002899215031402891
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	5	10.638297872340425	1.8179852502727632E-4	COL1A1, COL3A1, COL1A2, CRISPLD2, COL8A1	47	182	29712	17.367313537526304	0.09729717257054937	0.0340569236884431	0.03357212762170369
GOTERM_BP_DIRECT	GO:0071560~cellular response to transforming growth factor beta stimulus	4	8.51063829787234	2.6246708451716275E-4	ACTA2, COL1A1, CAV1, FBN1	47	80	29712	31.608510638297872	0.13738634446279108	0.03687662537466137	0.03635169120562704
GOTERM_CC_DIRECT	GO:0009986~cell surface	8	17.02127659574468	2.734695051633465E-4	VCAN, SPARC, VCAM1, CAV1, BGN, NCAM1, PTN, THY1	47	833	29722	6.0733059181119255	0.03440316195956494	0.004573569985160761	0.004037604752524734
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	5	10.638297872340425	2.8584812407254754E-4	ACTA2, APBB1IP, FLRT2, SH3KBP1, CAV1	47	205	29722	15.42397509081474	0.03593233050495981	0.004573569985160761	0.004037604752524734
REACTOME_PATHWAY	R-MMU-76002~Platelet activation, signaling and aggregation	7	14.893617021276595	2.924308405792443E-4	APBB1IP, COL1A1, SPARC, GNGT2, COL1A2, TIMP1, GNG11	35	256	9277	7.24765625	0.06560299930047075	0.005678032154580326	0.005117539710136775
GOTERM_CC_DIRECT	GO:0098978~glutamatergic synapse	8	17.02127659574468	3.5308599610066246E-4	ACTA2, SPARC, FLRT2, PTPRZ1, SH3KBP1, NCAM1, KIF21B, THY1	47	869	29722	5.82170751413951	0.04419655472052142	0.0050216675000983105	0.004433190839930539
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	7	14.893617021276595	6.720928802693075E-4	VCAN, SPARC, S100A4, CD248, FBLN2, MYL9, FBN1	44	725	28924	6.346959247648902	0.08245789674491544	0.010974246337109035	0.010288355941039721
GOTERM_MF_DIRECT	GO:0005539~glycosaminoglycan binding	3	6.382978723404255	6.858903960693147E-4	CRISPLD2, BGN, PTN	44	26	28924	75.84965034965035	0.08407802035171197	0.010974246337109035	0.010288355941039721
GOTERM_BP_DIRECT	GO:0071711~basement membrane organization	3	6.382978723404255	6.876796015460026E-4	COL3A1, FLRT2, CAV1	47	25	29712	75.86042553191488	0.32111042871880047	0.0772951872137707	0.07619489985129708
REACTOME_PATHWAY	R-MMU-109582~Hemostasis	9	19.148936170212767	0.001193372143584831	APBB1IP, COL1A1, SPARC, GNGT2, COL1A2, CAV1, TIMP1, KIF21B, GNG11	35	601	9277	3.969241739957214	0.24196647702718177	0.021388900727328124	0.01927755001175496
REACTOME_PATHWAY	R-MMU-3000171~Non-integrin membrane-ECM interactions	4	8.51063829787234	0.0013345928767598207	ACTA2, COL1A1, COL3A1, COL1A2	35	60	9277	17.67047619047619	0.2664300662778777	0.022211438591788445	0.02001889315139731
GOTERM_BP_DIRECT	GO:0030324~lung development	4	8.51063829787234	0.0013957293409172478	COL3A1, SPARC, CRISPLD2, FBN1	47	142	29712	17.80761162721007	0.5444931430558122	0.12253814172238674	0.12079382653772641
GOTERM_BP_DIRECT	GO:0007507~heart development	5	10.638297872340425	0.0015262757865777707	COL3A1, VCAN, VCAM1, ADM, FBN1	47	321	29712	9.846888049313979	0.5768166300241827	0.12253814172238674	0.12079382653772641
GOTERM_CC_DIRECT	GO:0005856~cytoskeleton	6	12.76595744680851	0.0015874202044843396	ACTA2, AKAP12, APBB1IP, CNN1, SH3KBP1, KIF21B	47	552	29722	6.873728029602219	0.18400841032032722	0.02008754888351565	0.017733539248728662
GOTERM_CC_DIRECT	GO:0098685~Schaffer collateral - CA1 synapse	4	8.51063829787234	0.0017262737321771262	ACTA2, AKAP12, NCAM1, PTN	47	153	29722	16.53288833263802	0.19840675760949855	0.02008754888351565	0.017733539248728662
GOTERM_MF_DIRECT	GO:0002020~protease binding	4	8.51063829787234	0.001805749921593141	COL1A1, COL3A1, COL1A2, TIMP1	44	162	28924	16.231200897867566	0.20653427005763692	0.025681776662658	0.02407666562124188
REACTOME_PATHWAY	R-MMU-6806834~Signaling by MET	4	8.51063829787234	0.0019158848129537348	COL1A1, COL3A1, COL1A2, SH3KBP1	35	68	9277	15.591596638655462	0.3591190806267751	0.029760077427881348	0.026822387381352286
REACTOME_PATHWAY	R-MMU-8874081~MET activates PTK2 signaling	3	6.382978723404255	0.0021441142870256523	COL1A1, COL3A1, COL1A2	35	19	9277	41.85112781954887	0.39223595505715503	0.03122366430481106	0.028141500017211687
GOTERM_BP_DIRECT	GO:0010811~positive regulation of cell-substrate adhesion	3	6.382978723404255	0.0023239440007780917	COL8A1, PTN, FBLN2	47	46	29712	41.22849213691027	0.7301538058040932	0.16325706605466095	0.16093312205388285
REACTOME_PATHWAY	R-MMU-419037~NCAM1 interactions	3	6.382978723404255	0.0026210681651430974	COL3A1, COL6A2, NCAM1	35	21	9277	37.865306122448985	0.456043571162699	0.03592405191049069	0.03237790086353238
GOTERM_CC_DIRECT	GO:0005584~collagen type I trimer	2	4.25531914893617	0.003093006940036085	COL1A1, COL1A2	47	2	29722	632.3829787234042	0.3273421151461945	0.032813108433459165	0.028967822288913165
GOTERM_BP_DIRECT	GO:0061870~positive regulation of hepatic stellate cell migration	2	4.25531914893617	0.003094047146850327	ACTA2, AKAP12	47	2	29712	632.1702127659574	0.8252936912696514	0.19320605516998707	0.19045579103945345
GOTERM_CC_DIRECT	GO:0030426~growth cone	4	8.51063829787234	0.0033325813252731962	PTPRZ1, NCAM1, KIF21B, THY1	47	193	29722	13.106382978723403	0.3477209273273387	0.032813108433459165	0.028967822288913165
KEGG_PATHWAY	mmu04510:Focal adhesion	5	10.638297872340425	0.003440887948325218	COL1A1, COL1A2, COL6A2, CAV1, MYL9	31	202	9565	7.637336314276589	0.21437641383300066	0.0528119397434033	0.047530745769062965
KEGG_PATHWAY	mmu04933:AGE-RAGE signaling pathway in diabetic complications	4	8.51063829787234	0.0037722814102430927	COL1A1, COL3A1, VCAM1, COL1A2	31	101	9565	12.219738102842543	0.23245564414851905	0.0528119397434033	0.047530745769062965
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	3	6.382978723404255	0.004048871433762763	COL1A1, COL3A1, COL1A2	47	61	29712	31.090338332752005	0.8981385622095254	0.21354606501462295	0.2105062633774041
GOTERM_BP_DIRECT	GO:0048144~fibroblast proliferation	3	6.382978723404255	0.004179727251175894	COL3A1, CAV1, CD248	47	62	29712	30.58888126286891	0.9054019132488886	0.21354606501462295	0.2105062633774041
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	3	6.382978723404255	0.0047225678923152655	COL1A1, COL3A1, CAV1	47	66	29712	28.735009671179878	0.9304078673769033	0.22117359629009828	0.2180252176952214
GOTERM_BP_DIRECT	GO:0043588~skin development	3	6.382978723404255	0.0052961861338741084	COL1A1, COL3A1, BCL11B	47	70	29712	27.09300911854103	0.9496963048556181	0.22895820055671148	0.225699009089712
REACTOME_PATHWAY	R-MMU-8875878~MET promotes cell motility	3	6.382978723404255	0.005318524831050393	COL1A1, COL3A1, COL1A2	35	30	9277	26.505714285714287	0.7098016718719486	0.0688453492019301	0.06204945636225458
KEGG_PATHWAY	mmu04611:Platelet activation	4	8.51063829787234	0.006990280107083817	APBB1IP, COL1A1, COL3A1, COL1A2	31	126	9565	9.795186891961086	0.38800909648327053	0.08155326791597786	0.07339794112438008
GOTERM_BP_DIRECT	GO:0001568~blood vessel development	3	6.382978723404255	0.00702920913564421	COL1A1, COL3A1, COL1A2	47	81	29712	23.413711583924346	0.9811533315568713	0.2821725381594319	0.278155847224778
REACTOME_PATHWAY	R-MMU-76009~Platelet Aggregation (Plug Formation)	3	6.382978723404255	0.007597674902301182	APBB1IP, COL1A1, COL1A2	35	36	9277	22.08809523809524	0.8295632040329622	0.08851291261180877	0.07977558647416241
REACTOME_PATHWAY	R-MMU-445355~Smooth Muscle Contraction	3	6.382978723404255	0.007597674902301182	ACTA2, MYH11, MYL9	35	36	9277	22.08809523809524	0.8295632040329622	0.08851291261180877	0.07977558647416241
GOTERM_CC_DIRECT	GO:0030485~smooth muscle contractile fiber	2	4.25531914893617	0.007714977227092966	ACTA2, MYH11	47	5	29722	252.9531914893617	0.6289231621374838	0.07053693464770712	0.06227088761867894
GOTERM_CC_DIRECT	GO:0030175~filopodium	3	6.382978723404255	0.008607069231545979	ACTA2, VCAM1, PTPRZ1	47	90	29722	21.079432624113473	0.6692767873049683	0.07344699077585902	0.06483992154431303
GOTERM_BP_DIRECT	GO:0071333~cellular response to glucose stimulus	3	6.382978723404255	0.00861261412687383	COL1A1, VCAM1, SERPINF1	47	90	29712	21.072340425531912	0.9923258925516195	0.32268594262020617	0.31809254841920676
REACTOME_PATHWAY	R-MMU-375165~NCAM signaling for neurite out-growth	3	6.382978723404255	0.009321043691936523	COL3A1, COL6A2, NCAM1	35	40	9277	19.879285714285714	0.8861215354469785	0.10218246897287005	0.09209578748627771
REACTOME_PATHWAY	R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	4	8.51063829787234	0.009648130117610046	VCAN, TIMP1, IGFBP6, FBN1	35	121	9277	8.762219598583235	0.8945200268145299	0.10218246897287005	0.09209578748627771
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	5	10.638297872340425	0.00997328528044866	ACTA2, CAV1, TRIB3, PTN, THY1	44	569	28924	5.776481866112798	0.7227925154539387	0.12765805158974283	0.11967942336538391
KEGG_PATHWAY	mmu04270:Vascular smooth muscle contraction	4	8.51063829787234	0.010077412705929597	ACTA2, MYH11, ADM, MYL9	31	144	9565	8.57078853046595	0.5078626079957046	0.10077412705929598	0.09069671435336638
REACTOME_PATHWAY	R-MMU-9035034~RHOF GTPase cycle	3	6.382978723404255	0.010242106338136615	ACTA2, AKAP12, CAV1	35	42	9277	18.932653061224492	0.9082255082256379	0.10375699029503614	0.09351488395689952
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	9	19.148936170212767	0.011040722018064282	ACTA2, COL1A1, GREM2, COL1A2, GPX3, CAV1, S100A4, IGFBP6, FBN1	44	2094	28924	2.8253451419640534	0.7585449045018153	0.12847385621020255	0.12044424019706489
GOTERM_CC_DIRECT	GO:0001725~stress fiber	3	6.382978723404255	0.011353928452809301	ACTA2, MYH11, MYL9	47	104	29722	18.24181669394435	0.7681387568481325	0.09083142762247441	0.08018711969796569
GOTERM_BP_DIRECT	GO:0016525~negative regulation of angiogenesis	3	6.382978723404255	0.011361191063208454	SPARC, SERPINF1, PTN	47	104	29712	18.235679214402616	0.9983923201432293	0.39906183609519696	0.3933812405635927
GOTERM_MF_DIRECT	GO:0005515~protein binding	16	34.04255319148936	0.01210659079383143	SPARC, BCL11B, SH3KBP1, CAV1, FBLN2, AKAP12, COL1A1, ACTA2, APBB1IP, COL1A2, FLRT2, PTPRZ1, TRIB3, S100A4, NCAM1, FBN1	44	5596	28924	1.8795243355643643	0.7896748214385103	0.12913696846753525	0.1210659079383143
GOTERM_BP_DIRECT	GO:0007229~integrin-mediated signaling pathway	3	6.382978723404255	0.012642281717714013	COL3A1, PTN, THY1	47	110	29712	17.241005802707928	0.999225256705481	0.41793896031501626	0.41198965127138604
REACTOME_PATHWAY	R-MMU-9856530~High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells	3	6.382978723404255	0.012713235397761534	GNGT2, ADM, GNG11	35	47	9277	16.91854103343465	0.9486134957461371	0.12342432698660157	0.11124080973041342
GOTERM_BP_DIRECT	GO:0007165~signal transduction	6	12.76595744680851	0.013812657132885098	AKAP12, APBB1IP, PTPRZ1, TIMP1, CXCL14, FBN1	47	925	29712	4.10056354226567	0.9996026658524191	0.43126185048230137	0.4251228917565747
REACTOME_PATHWAY	R-MMU-9851151~MDK and PTN in ALK signaling	2	4.25531914893617	0.014581860949365014	PTPRZ1, PTN	35	4	9277	132.52857142857144	0.9668893179133152	0.13590294404808193	0.12248763197466613
